"","TL0_sim","T0_sim","L0_sim","Ttotss_sim","Tss_sim","Lss_sim","Dss_sim","TLss_sim","AFIR_sim","SCIM_sim","time_last_dose","TLss_frac_change","TL0_05tau_frac_change","error_simulation","T0_thy","TL0_thy","L0_thy","Ttotss_thy","Lss_thy","Tss_thy","TLss_thy","Tfold_thy","Lfold_thy","Dss_thy","Cavgss_thy","Ccrit_thy","AFIR_thy","AFIR_simple_thy","SCIM_thy","SCIM_adhoc_thy","SCIM_simpler_thy","SCIM_simplest_thy","SCIM_Lfold_thy","SCIM_Lfold_adhoc_thy","F","ka","V1","k12","k21","T0","L0","keD","keT","keL","keDT","keTL","Vm","Km","kon_DT","Kd_DT","kon_TL","Kd_TL","param_name","param_value","drug"
"1",0.000681818181818182,0.15,0.01,0.150681818181818,0.119190732420118,0.0101340401166861,0.410074497753379,0.000547778065132119,0.794604882800786,0.803407828860441,357,-1.57530116630521e-10,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,0.000129140065690285,1.00454545454545,1.06818181818182,7.45669965722136,7.45669965722136,14.8270909090909,0.177325421911293,0.2155474675336,0.189405429679092,0.159358618486166,0.230004261001696,0.230243885774537,0.230243885774526,0.187153042121865,0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,"dose",0.1,"Atezolizumab"
"2",0.000681818181818182,0.15,0.01,0.150681818181818,0.0260546170839944,0.0105574029081776,7.63455800483838,0.000124415273640558,0.173697447226629,0.182475734672818,357,-4.90759083581349e-05,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,5.23600366734255e-05,1.00454545454545,1.06818181818182,20.7487097406359,20.7487097406359,14.8270909090909,0.0718945244110796,0.0774637434020736,0.0767947204543605,0.0713409056179106,0.0827143928930024,0.0827453622704002,0.0827453622703965,0.076421811770118,0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,"dose",0.278255940220712,"Atezolizumab"
"3",0.000681818181818182,0.15,0.01,0.150681818181818,0.00535099222078054,0.0106559788895958,43.4408689099357,2.58392922223344e-05,0.0356732814718703,0.0378976285927571,357,-0.000108653581185453,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,1.9726001559588e-05,1.00454545454545,1.06818181818182,57.7345173724731,57.7345173724731,14.8270909090909,0.0270850057703199,0.0278390259487828,0.0289314689540635,0.0281215525671493,0.0297331405462229,0.0297371413543828,0.0297371413543815,0.0288783808606429,0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,"dose",0.774263682681127,"Atezolizumab"
"4",0.000681818181818182,0.15,0.01,0.150681818181818,0.00162944858073459,0.0106739329573395,146.345089005149,7.88522447865418e-06,0.0108629905382306,0.0115649959020261,357,-0.000113633031205524,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,7.21437269715566e-06,1.00454545454545,1.06818181818182,160.649724146666,160.649724146666,14.8270909090909,0.00990572214596983,0.0100048271841747,0.0105810799558287,0.0104707890224067,0.0106864577234038,0.0106869744921871,0.0106869744921866,0.010573970736643,0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,"dose",2.15443469003188,"Atezolizumab"
"5",0.000681818181818182,0.15,0.01,0.150681818181818,0.000554289051070133,0.0106791341939907,433.342010744314,2.68398782746412e-06,0.00369526034046755,0.00393651548028071,357,-0.00011418438307433,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,2.60927408108355e-06,1.00454545454545,1.06818181818182,447.017400386285,447.017400386285,14.8270909090909,0.00358266681169782,0.0035955484638491,0.0038269353189227,0.00381241148419416,0.00384063275015287,0.00384069949547534,0.00384069949547517,0.00382600496015502,0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,"dose",5.99484250318941,"Atezolizumab"
"6",0.000681818181818182,0.15,0.01,0.150681818181818,0.000195415111000725,0.0106808717418224,1232.12419330138,9.46439995773237e-07,0.0013027674066715,0.00138811199380075,357,-0.000114266120029528,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,9.39882293226723e-07,1.00454545454545,1.06818181818182,1243.85247039504,1243.85247039504,14.8270909090909,0.00129050556322548,0.00129217311982526,0.00137849403006592,0.00137660497494041,0.00138026721195482,0.00138027583254068,0.00138027583254062,0.00137837329719029,0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,"dose",16.6810053720006,"Atezolizumab"
"7",0.000681818181818182,0.15,0.01,0.150681818181818,6.97507727816349e-05,0.010681480338169,3454.84913458052,3.37843649143128e-07,0.000465005151877566,0.000495504018743255,357,-0.000114282151567606,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,3.38055746981536e-07,1.00454545454545,1.06818181818182,3461.09338645629,3461.09338645629,14.8270909090909,0.000464167389985045,0.000464382941402909,0.000495815095572939,0.00049557049605606,0.000496044301284468,0.000496045414680401,0.000496045414680379,0.000495799475623895,0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,"dose",46.4158883361277,"Atezolizumab"
"8",0.000681818181818182,0.15,0.01,0.150681818181818,2.50059296545114e-05,0.0106816970603668,9639.7365225421,1.21121451363662e-07,0.000166706197696742,0.000177644795333371,357,-0.000114286262735285,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,1.2152708400496e-07,1.00454545454545,1.06818181818182,9630.69794440083,9630.69794440083,14.8270909090909,0.000166862728188335,0.000166890576005156,0.000178239723207282,0.000178208103171733,0.000178269335113785,0.000178269478914606,0.000178269478914598,0.000178237704571881,0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,"dose",129.154966501488,"Atezolizumab"
"9",0.000681818181818182,0.15,0.01,0.150681818181818,8.97878452565308e-06,0.0106817746907907,26849.5613463923,4.34910274457471e-08,5.98585635043539e-05,6.37868402537624e-05,357,-0.000114287530448302,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,4.36792400508401e-08,1.00454545454545,1.06818181818182,26797.9891150094,26797.9891150094,14.8270909090909,5.99737661723967e-05,5.99773632407554e-05,6.40628854079014e-05,6.40588001855184e-05,6.40667103436643e-05,6.40667289162641e-05,6.40667289162612e-05,6.40626246334552e-05,0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,"dose",359.381366380462,"Atezolizumab"
"10",0.000681818181818182,0.15,0.01,0.150681818181818,3.22579111186475e-06,0.0106818025568258,74736.924183984,1.56249924311128e-08,2.15052740790983e-05,2.29166555656321e-05,357,-0.000114287959118141,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,1.56981082842137e-08,1.00454545454545,1.06818181818182,74566.9965722136,74566.9965722136,14.8270909090909,2.15542821562667e-05,2.155474675336e-05,2.30238921501811e-05,2.30233644613066e-05,2.30243861787097e-05,2.30243885774537e-05,2.30243885774527e-05,2.30238584671888e-05,0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,"dose",1000,"Atezolizumab"
