"","TL0_keTL0_thy","TL0_negroot_thy","TL0_posroot_thy","T0_thy","Ttot_thy","Lss_thy","Dss_thy","SCIM_thy_keTL0","SCIM_thy_keTL_negroot","SCIM_thy_keTL_negroot26","SCIM_thy_keTL_negroot29","SCIM_thy_keTL_negroot31","SCIM_thy_keTL_posroot","AFIR_thy","AFIR_thy_simple","param.to.change","fold.change.param","TL0_sim","T0_sim","Ttot_sim","L_sim","D_sim","SCIM_sim","time_idx","TLss","param.to.change1","fold.change.param1","param","drug"
"1",3.66667e-07,NA,Inf,5e-07,2.5e-07,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,1.5e-06,1e-06,3.66667e-07,5e-07,2.50051e-07,7.33333,6905.03,8.32398e-05,314.9,3.05213e-11,1.5e-06,1e-06,"ksynT","Pembro"
"2",3.66667e-06,NA,Inf,5e-06,2.5e-06,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,1.5e-05,1e-05,3.66667e-06,5e-06,2.50051e-06,7.33333,6905.02,8.34296e-05,314.9,3.05909e-10,1.5e-05,1e-05,"ksynT","Pembro"
"3",3.66667e-05,NA,Inf,5e-05,2.5e-05,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,0.00015,1e-04,3.66667e-05,5e-05,2.50051e-05,7.33333,6905.02,8.34557e-05,314.9,3.06004e-09,0.00015,1e-04,"ksynT","Pembro"
"4",0.000366667,NA,Inf,5e-04,0.00025,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,0.0015,0.001,0.000366667,5e-04,0.000250051,7.33333,6905,8.34557e-05,314.9,3.06004e-08,0.0015,0.001,"ksynT","Pembro"
"5",0.00366667,NA,Inf,0.005,0.0025,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,0.015,0.01,0.00366667,0.005,0.00250051,7.33333,6904.78,8.34582e-05,314.9,3.06013e-07,0.015,0.01,"ksynT","Pembro"
"6",0.0366667,NA,Inf,0.05,0.025,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,0.15,0.1,0.0366667,0.05,0.0250051,7.33333,6902.65,8.34839e-05,314.9,3.06108e-06,0.15,0.1,"ksynT","Pembro"
"7",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,1.5,1,0.366667,0.5,0.250052,7.33333,6881.3,8.37415e-05,314.9,3.07052e-05,1.5,1,"ksynT","Pembro"
"8",3.66667,NA,Inf,5,2.5,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,15,10,3.66667,5,2.50053,7.33333,6667.81,8.64077e-05,314.9,0.000316828,15,10,"ksynT","Pembro"
"9",36.6667,NA,Inf,50,25,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,150,100,36.6667,50,25.0078,7.33327,4532.96,0.000126768,314.9,0.00464815,150,100,"ksynT","Pembro"
"10",366.667,NA,Inf,500,250,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,1500,1000,366.667,500,703.307,4.37318,0.0110297,0.576364,314.9,211.333,1500,1000,"ksynT","Pembro"
"11",3666.67,NA,Inf,5000,2500,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,15000,10000,3666.67,5000,5710.18,1.4416,5.9256e-05,0.195367,314.9,716.347,15000,10000,"ksynT","Pembro"
"12",36666.7,NA,Inf,50000,25000,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,150000,1e+05,36666.7,50000,86635.6,7.32712,1.84633e-10,0.999153,314.9,36635.6,150000,1e+05,"ksynT","Pembro"
"13",366667,NA,Inf,5e+05,250000,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,1500000,1e+06,366667,5e+05,866664,7.33327,1.58092e-12,0.999992,314.9,366664,1500000,1e+06,"ksynT","Pembro"
"14",0.366667,NA,Inf,0.5,250000,7.33333,6887.92,30.7412,NA,NA,NA,NA,0,0.417775,30.7444,6e-06,1e-06,0.366667,0.5,462.467,7.33313,6882.25,0.0566223,314.9,0.0207615,6e-06,1e-06,"keDT","Pembro"
"15",0.366667,NA,Inf,0.5,25000,7.33333,6887.92,3.07416,NA,NA,NA,NA,0,0.372255,3.07449,6e-05,1e-05,0.366667,0.5,458.581,7.33313,6882.24,0.0561473,314.9,0.0205874,6e-05,1e-05,"keDT","Pembro"
"16",0.366667,NA,Inf,0.5,2500,7.33333,6887.92,0.307464,NA,NA,NA,NA,0,0.178165,0.307497,6e-04,1e-04,0.366667,0.5,422.035,7.33315,6882.17,0.0516802,314.9,0.0189494,6e-04,1e-04,"keDT","Pembro"
"17",0.366667,NA,Inf,0.5,250,7.33333,6887.92,0.0307945,NA,NA,NA,NA,0,0.0287134,0.0307978,0.006,0.001,0.366667,0.5,209.117,7.33325,6881.76,0.0256452,314.9,0.00940323,0.006,0.001,"keDT","Pembro"
"18",0.366667,NA,Inf,0.5,25,7.33333,6887.92,0.00312747,NA,NA,NA,NA,0,0.00310527,0.00312781,0.06,0.01,0.366667,0.5,24.9406,7.33332,6881.36,0.00310622,314.9,0.00113895,0.06,0.01,"keDT","Pembro"
"19",0.366667,NA,Inf,0.5,2.5,7.33333,6887.92,0.000360774,NA,NA,NA,NA,0,0.000360558,0.000360819,0.6,0.1,0.366667,0.5,2.49944,7.33333,6881.31,0.0003591,314.9,0.00013167,0.6,0.1,"keDT","Pembro"
"20",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,6,1,0.366667,0.5,0.250052,7.33333,6881.3,8.37415e-05,314.9,3.07052e-05,6,1,"keDT","Pembro"
"21",0.366667,NA,Inf,0.5,0.025,7.33333,6887.92,5.63398e-05,NA,NA,NA,NA,0,5.64497e-05,5.64501e-05,60,10,0.366667,0.5,0.0250474,7.33333,6881.3,5.61976e-05,314.9,2.06058e-05,60,10,"keDT","Pembro"
"22",0.366667,NA,Inf,0.5,0.0025,7.33333,6887.92,5.27023e-05,NA,NA,NA,NA,0,5.36831e-05,5.36831e-05,600,100,0.366667,0.5,0.00254633,7.33333,6881.3,5.34432e-05,314.9,1.95958e-05,600,100,"keDT","Pembro"
